,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17
Deuterosomal,0.0,0.08214824637031864,0.0,0.0,0.0,0.0,0.0011915022047592743,0.0,0.0,0.324052778317649,0.0,0.09888219263309013,0.0,0.493725280474183,0.0,0.0,0.0,0.0
Dividing_AT2,0.10072469984941494,0.09808662843060909,0.0035127251089591255,0.0,0.0,0.059076204976251726,0.01366604925203608,0.0,0.2430203346280458,0.10113729303403353,0.12136700149500454,0.20241305929961276,0.002581553379040744,0.01774547351349724,0.0,0.0,0.0,0.03666897703349435
Dividing_Basal,0.0,0.0,0.039245102618085545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00291805873720251,0.6952442024884037,0.0,0.0,0.0,0.10122173165493113,0.16137090450137717,0.0
Endothelia_Lymphatic,0.06084141600479268,0.0,0.054611115393282755,0.022702081338906496,0.012229161923598263,0.04816351903672915,0.051227902697255634,0.1891071220515529,0.02209317332622558,0.0,0.00917769171459624,0.0,0.043902539539723465,0.0,0.0753640680600761,0.4006720043342368,0.004279180684196113,0.005629023894827876
Endothelia_vascular_Cap_a,0.16236089457832875,0.0,0.006025882478540062,0.0,0.001596007043639089,0.5490536743102746,0.0,0.0,0.19948148544549113,0.0,0.06184073054652759,0.0,0.002524051013336404,0.00011129427611032202,0.0007381171194049403,0.0,0.0013578297364067453,0.014910033451940384
Endothelia_vascular_Cap_g,0.1574662224687591,0.0,0.003047174826834367,0.002042982056504838,0.002331178441710773,0.6267199961137778,0.0,0.0013737234520061219,0.16039490194662132,0.0,0.041352539058565084,0.0,0.0007964835971528334,0.0,0.0,0.0027314738351755983,0.0017433242028921556,0.0
Endothelia_vascular_arterial_pulmonary,0.09308875804125508,4.047337800892013e-05,0.03602564692305716,0.007302990930069132,0.006508307697456738,0.3280122039807607,0.26524194346789043,0.06869244268576027,0.03794688095711635,0.0,0.015644929616805674,0.00023358310858718781,0.1341199406259954,0.0,0.0,0.0,8.161746097894683e-05,0.007060281126258043
Endothelia_vascular_arterial_systemic,0.0,0.0,0.0,0.0,0.0,0.07579444365384201,0.6677545948103648,0.05257151352182002,0.0,0.0,0.0,0.0,0.20387944801397329,0.0,0.0,0.0,0.0,0.0
Endothelia_vascular_venous_pulmonary,0.06954318296630399,0.005212695700363095,0.06116397343488306,0.00593502858909406,0.03444506164441487,0.16944541184198458,0.04566350011820696,0.23705086242979764,0.0379980902974591,0.00035968623892877137,0.014314951796829003,0.0,0.06718895862231053,0.00048589439992024433,0.03624364338268009,0.1894294195105782,0.015500382340643952,0.010019256685601781
Endothelia_vascular_venous_systemic,0.0026103767094400715,0.001056144168952496,0.015950044714487813,0.010584939305215212,0.010305636706799605,0.0035309091889776005,0.0,0.8077323432939336,0.0028101973596786852,0.0,0.0,0.0,0.008755700058424017,0.0,0.03702798002332014,0.09019648590730739,0.0094392425634633,0.0
Erythrocyte,0.24324168883516417,0.00037590838084431127,0.016544248081320306,0.0,0.0,0.13125889866424625,0.043313287862836954,0.013923398906992753,0.20000314621165624,0.010797579247866517,0.0866710899663212,0.012162087832280252,0.06830760253331435,0.01565692724903666,0.0,0.0,0.0,0.15774413622812003
Fibro_adventitial,0.0,0.004758893719949588,0.02061946613002437,0.06895621410797836,0.026240908888726013,0.0,0.0002562978176843805,0.016210312573365516,0.0,0.0,0.0,0.0,0.012768251545834136,0.0,0.6181836012986571,0.2137079422543935,0.01829811166338712,0.0
Fibro_alveolar,0.5893301234154334,0.0,0.0008786131897797424,0.0,0.0,0.15485410097701244,0.0,0.0,0.18384933985442498,0.0,0.06757047661208299,0.0,0.0,0.0,0.0,0.0,0.0,0.0035173459512663026
Fibro_immune_recruiting,0.028615566836195573,0.005453215945131593,0.015735656288832955,0.1655049529857142,0.0987909835628817,0.012472893512048562,0.02106640278666164,0.08541472506435666,0.008546505857883453,0.0,0.004706551779359336,0.0,0.006087579753158909,0.0,0.2254398542325744,0.22647971332908112,0.0887955859142992,0.00688981215182066
Fibro_myofibroblast,0.0,0.0,0.016038512782748912,0.0,0.017691425172744187,0.005386673774823367,0.0,0.0,0.0,0.0,0.0,0.0,0.013472008996286554,0.0,0.18966432177876444,0.754014222974947,0.0037328345196854314,0.0
Fibro_peribronchial,0.09124610539401272,0.0,0.16484722321085238,0.0,1.1864369187209204e-05,0.01959070235845627,0.08559905056041062,0.12809857261447108,0.015619598113431566,0.0,0.0017926816583177403,0.15931012283214682,0.030671868024201226,0.025881277629136022,0.07917549479107906,0.19005401519490026,0.0,0.008101423249397083
Fibro_perichondrial,0.04345817788389147,0.0,0.05752018006263424,0.0,0.0,0.008077135439103844,0.376408825623398,0.0,0.01434920560191738,0.0,0.0,0.01936465584434466,0.0,0.0035988517813641736,0.47722296776334633,0.0,0.0,0.0
ILC,0.1604646353926442,0.004904185431687228,0.045938756443034356,0.026504903298623386,0.04224014116806571,0.09738303327966921,0.029525065513717905,0.03649434092481636,0.12343481898437003,0.030041793967318008,0.08499681571961794,0.03903743277314238,0.03186055615383819,0.03133782841698794,0.04096102706608172,0.0537064001383683,0.03686928219250456,0.08429898313551273
Ionocyte_n_Brush,0.005134896281292975,0.13500442769824647,0.009529955888033957,0.0,0.002031544656228756,0.012194010776983677,0.01783834306998652,0.0,0.024110816827017822,0.40603662605779994,0.005518496582265345,0.2065514002716446,0.003207767979699518,0.17196001845119505,0.0,0.0,0.0,0.0008816954596053073
MAIT,0.20832178364387996,0.0016399532479293413,0.02258253732092619,0.01475640785660957,0.02649293948414294,0.11613348641630018,0.019722685045053392,0.026996338672359076,0.15755688358980996,0.022584677393408897,0.11464663485733521,0.02955149774020457,0.014903742638055127,0.024680594247249357,0.022862159060233762,0.04236179095474723,0.024859498956936885,0.10934638887481862
Macro_CHIT1,0.05882556648298186,0.0009156784392026176,0.0,0.025768509740815838,0.001958283255862179,0.008859510499285274,0.0,0.0,0.06580551756365514,0.0,0.04084772985410651,0.0,0.0,0.0,0.024563436870517017,0.043904138874449744,0.009933415726860646,0.7186182126922632
Macro_interstitial,0.14873255091543208,0.0,0.0,0.016956480575677016,0.00505004203041354,0.16794075897665442,0.0,0.006672999078677306,0.13984529547405206,0.002039386588558669,0.06495862687827991,0.006040751489399346,0.0,0.0067047768909746204,0.016496236202699962,0.056474244066863265,0.008788169075392779,0.35329968175692505
Macro_AW_CX3CR1,0.0934881308043787,0.05093331828180487,0.0,0.12308209200645034,0.043566407595314265,0.07337175072064321,0.07313774217572463,0.012862186696944678,0.07504006488744103,0.058066950352223104,0.03643286434811239,0.06050986624551085,0.0,0.01878224275568525,0.017417599896626928,0.06257265918774137,0.07495623020942682,0.12577989383597163
Macro_alveolar_metallothioneins,0.08585298415684273,0.0,0.0067003302221453195,0.09205392559133632,0.0146359581391151,0.07499182550654176,0.010742890394838644,0.027159628366594725,0.0747772418890706,0.0027410912558087372,0.04319658007097787,3.768531176007526e-05,0.041603406995709545,0.0,0.08783286735895891,0.2030123054620637,0.045324399173373234,0.18933688010486266
Macro_alv,0.039050468246763545,0.0,0.002031807183013372,0.0,0.0,0.044996309872563874,0.0,0.0,0.0703890129524306,0.0,0.03211851941487062,0.0,0.0011090011531200018,0.0,0.0,0.0,0.0,0.810304881177238
Macro_dividing,0.07417511433156387,0.0,0.004471231207329003,0.0018873608575765027,0.0017324688092714854,0.07420276068027683,0.008970687683558506,0.0,0.10429174226286712,0.0008098177809744374,0.036187412951444946,0.001065761780089542,0.004031724263921158,0.0,0.0,0.01185521077629428,0.0052036926051254985,0.6711150140097069
