,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12
AT1,0.7326718566528668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26627192032851726,0.001056223018616007
AT2,0.13375287907665942,0.0,0.0003352505176778992,0.0,0.00019048312468790304,0.0001000913270921933,0.0,0.0,0.0,0.0003817810648526273,0.00018225120061569574,0.8650572636884144,0.0
B_memory,0.340240126909366,0.020927951296292373,0.018919671604335976,0.012706347860373326,0.01474628426906868,0.02653639965798847,0.17138273963552456,0.0,0.049218163037851245,0.018564419547860766,0.11411795815131737,0.1825363149071814,0.03010362312283998
B_naive,0.3157502215394469,0.07690829979148425,0.02551645900738489,0.021709073669725652,0.04009054197779059,0.036442212849837397,0.07284964497298142,0.00836712379029102,0.08122499831225562,0.04312147666804547,0.05665408045542793,0.14370194963380994,0.07766391733151898
B_plasma_IgA,0.0,0.0002609874670819979,0.8699006308446157,0.0,0.018874510441855025,0.003332206728019326,0.0,0.0,0.0017021857518894205,0.10535647028559639,0.0,0.0,0.0005730084809420703
B_plasma_IgG,0.06045777602575329,0.015400069314280068,0.4603406518798566,0.0,0.0,0.0,0.3737270847518252,0.0,0.0,0.0,0.08410861912270395,0.0038587519463946954,0.002107046959186186
B_plasmablast,0.0,0.0,0.3504829735111269,0.0,0.11581943394098461,0.0,0.30355047751645137,0.07009486505760251,0.0,0.0,0.10715738870598508,0.05289486126784959,0.0
Basal,0.000489549968745946,0.0,0.0,0.0037309229772180255,0.0,0.002800764303366221,0.0,0.013781007550915691,0.8646421627254759,0.0004989645319285359,0.0,0.0,0.11405662794234966
CD4_EM_Effector,0.348052856138607,0.05304940203479715,0.025896113099692097,0.04527222661223191,0.038583443313542375,0.06740487180827663,0.06540615668431193,0.007596247487598239,0.057151672220414396,0.04529176569668251,0.052255475291605416,0.13888317155047444,0.05515659806176587
CD4_TRM,0.2984029599065017,0.06379953426446656,0.035433258279580035,0.04400792226415452,0.04812839066780003,0.06507383211900099,0.08065296559650505,0.010388371295235326,0.06336152990458381,0.05627934368797156,0.05440103951992691,0.11647115825795809,0.06359969423631541
CD4_naive_CM,0.22170353604795387,0.0,0.0,0.006120599193885096,0.0,0.009620826193470143,0.35904306599096253,0.0,0.01992006561818964,0.0,0.2538913834981046,0.12511594430093417,0.004584579156500132
CD8_EM,0.34928675673541076,0.06098728543146142,0.02704591357905003,0.03620637241755827,0.03928238938543107,0.05468052038369806,0.06332552985020844,0.008285089909644284,0.06223767119435612,0.04499390155816561,0.051516880631965266,0.1394410189863517,0.06271066993669905
CD8_EM_EMRA,0.4697726659012777,0.007943039353600937,0.03266313617321614,0.015787847063469817,0.029927349810839804,0.024212873170600002,0.09275707247306066,0.0,0.01947686383592489,0.02971415775810338,0.06359988702063657,0.20527003787908088,0.008875069560189333
CD8_TRM_EM,0.40945854883394617,0.06895929216189751,0.020556859921072368,0.022079424197393414,0.031032366875072222,0.03544329409770747,0.03131502048802366,0.01355298339013313,0.0647078504622315,0.03658795761380485,0.03662828540319425,0.1618635711134236,0.0678145454420999
CD8_TRM,0.3582584608837319,0.1252087740647537,0.006447153252760058,0.024996123134881955,0.010664371801770567,0.04048804986118964,0.00401668664533163,0.03430215678470394,0.10386507035898927,0.02402007924532048,0.021178256771859544,0.12998775335435905,0.11656706384034825
Chondrocyte,0.12845326031188592,0.0,0.0,0.054455151834717865,0.08896803312339815,0.1901114272180507,0.17128816609536177,0.0,0.03848288784506898,0.2837140288824151,0.0,0.0,0.04452704468910156
Ciliated,3.821649555631443e-05,0.11011043736734648,0.0019426010448235081,0.0,0.009291305443489715,0.0023037618523700115,0.0017802122058547705,0.0,0.0,0.0,0.0009041637018645849,0.0,0.8736293018886947
DC_1,0.3100270700792932,0.03305032905580623,0.03241253211891171,0.0,0.06154739007136123,0.0,0.098412332974956,0.0,0.07700583332694652,0.015411957866182194,0.157752799732841,0.16202976946211603,0.05234998531158597
DC_2,0.38213677070917407,0.027786885321631528,0.025530973545039456,0.0,0.018198800286300547,0.0,0.031321369178849166,0.0,0.157026740143966,0.0,0.09812177085323637,0.1518886846602254,0.10798800530157733
DC_activated,0.4513781240644421,0.0660731967588915,0.0030615984690721574,0.008484579218331737,0.0034494121348663154,0.017028194675100333,0.02179545311067133,0.00517722255048164,0.08459789599196083,0.006555553235650381,0.06376104485666012,0.19807431264480305,0.07056341228906837
DC_plasmacytoid,0.29727214066556057,0.08443429483681503,0.037478455859505024,0.028971930720429903,0.038396202324087754,0.050947211074886055,0.03855973912428558,0.016278391662334833,0.10946573801619439,0.049405659592319136,0.052780236595634404,0.1159251381090226,0.08008486141892478
Deuterosomal,0.0,0.3196065359588157,0.0,0.0,0.0,0.0,0.0,0.08171462458520057,0.09789646897298829,0.0,0.0,0.0,0.5007823704829953
Dividing_AT2,0.27416814664671535,0.12504460868881187,0.0,0.004613022703705561,0.0,0.0053203071192123195,0.0,0.12374112280613948,0.25249071667326356,0.0,0.0,0.19152968382103897,0.02309239154111287
Dividing_Basal,0.0,0.0,0.0,0.0,0.1678873036764057,0.03897773776496814,0.05791356269881211,0.0,0.7319823156378165,0.0,0.0,0.003239080221997635,0.0
Endothelia_Lymphatic,0.10065048613558425,0.0,0.03406716319535415,0.05665142985871614,0.0014899037639470286,0.07354587977864588,0.3835670661642376,0.0,0.001119163012299578,0.0037595589822714947,0.33495815109091404,0.010191198018029955,0.0
Endothelia_vascular_Cap_a,0.8962956743429181,0.0,0.0,0.011495804416972996,0.0045857466016214505,0.014145280854313859,0.0,0.0008928185563115435,0.0,0.007930613540547677,0.0038483446786480254,0.06028620020440564,0.0005195168042605692
Endothelia_vascular_Cap_g,0.9495001454427672,0.0,0.00039661564287665936,0.009838773821600528,0.006117405741970283,0.00970692458309945,0.0,0.0015234349574610635,0.0,0.010966031659551864,0.011950668150672968,0.0,0.0
Endothelia_vascular_arterial_pulmonary,0.4431553626875138,0.0,0.008322800481101551,0.2820080231966128,0.00016332969715165054,0.09382100106438067,0.0,0.0022098124857871664,0.0004609882994384231,0.022700132892133445,0.1471585491958806,0.0,0.0
Endothelia_vascular_arterial_systemic,0.09586242356385857,0.0,0.0,0.6241173128883195,0.0,0.0737134572168757,0.0,0.0,0.0015104141454939152,0.0,0.20479639218545223,0.0,0.0
Endothelia_vascular_venous_pulmonary,0.20810219220959136,0.0011718346119736355,0.008981064177393989,0.09272077108972303,0.021586655810940457,0.0856997570835769,0.1635152501170355,0.00699099272963979,0.0005326852059103711,0.04421495706567651,0.3636789550480344,0.002627974817194258,0.00017691003330989674
Endothelia_vascular_venous_systemic,0.0,0.0,0.01160823289929538,0.010392906613393522,0.020085780689542233,0.025065463647183376,0.018147703296456808,0.00016788567410299415,0.0,0.020474875992341914,0.8935468474426679,0.0,0.0005103037450159255
Erythrocyte,0.5720411988636299,0.017014814104578613,0.002606531281001968,0.119982804269107,0.0,0.029520984261401505,0.0,0.0019166396351545626,0.021384425609396903,0.0011603649830681099,0.040408347620056066,0.16735814705547045,0.026605742317135108
Fibro_adventitial,0.0,0.0,0.09481120424325562,0.021629351090995324,0.05765587138339718,0.04338953352804151,0.7115086323258051,0.0030154566440534544,0.0,0.06671526756662483,0.0,0.0,0.0012746832178269038
Fibro_alveolar,0.8963995963038993,0.0,0.0,0.0,0.0,0.0010595983500628265,0.011024041046706267,0.0,0.0,0.0,0.0,0.0915167642993315,0.0
Fibro_immune_recruiting,0.03479273338689591,0.0,0.2002473460212393,0.008619252572465293,0.1139500517881487,0.025144712428464413,0.3555035355195929,0.006018624785877857,0.0,0.12688521154436427,0.12327770035980183,0.005560831593149489,0.0
Fibro_myofibroblast,0.008570392602838263,0.0,0.0,0.005658297361074265,0.0,0.010763802858230144,0.8566836454142591,0.0,0.0,0.0,0.11829911761556636,2.474414803195532e-05,0.0
