,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
AT1,0.0,0.2694101734322862,0.7295489259245281,0.0,0.0,0.0,0.0,0.001040900643185742,0.0,0.0,0.0
AT2,0.0,0.8671168947551873,0.13201678545924453,0.00036611534145632646,0.00014365563845657672,0.0,0.00018389863019093388,0.0,0.00017265017546440757,0.0,0.0
B_memory,0.050712554550202196,0.18716729483668712,0.34339971256793095,0.020852677402257543,0.028229048626135407,0.013004458382039088,0.01733890340530544,0.03129595144917255,0.1148594094096821,0.018760993642935014,0.1743789957276524
B_naive,0.0838243418331125,0.14888255481151844,0.32199893076559083,0.04788727484092451,0.038785864925022014,0.02213537360116691,0.04526858802670202,0.08036227700077225,0.057910928564319335,0.07751283644787632,0.07543102918299477
B_plasma_IgA,0.0,0.0,0.0031686942904952725,0.5451268347171964,0.0,0.0,0.368016517907952,0.0,0.0,0.0,0.08368795308435642
B_plasma_IgG,0.0,0.00491278167208429,0.08497923874862572,0.11225573958373086,0.0,0.0,0.1078185231076073,0.006786502455561645,0.06723588037227139,0.016153055069856894,0.5998582789902618
B_plasmablast,0.0018200364924659436,0.07140284414313527,0.0,0.06941513920098051,0.0,0.0,0.3112003662250658,0.0,0.11429000049490798,7.995787654178175e-05,0.4317916555669027
Basal,0.8723318546157047,0.0,0.0004943380209041874,0.0024021001137535785,0.001904273862072479,0.003940132441432941,0.0021614639469859157,0.11676583699914621,0.0,0.0,0.0
CD4_EM_Effector,0.0590527176454994,0.14377983310101317,0.35463921873809334,0.05019539683955452,0.07024627800869293,0.04615284589024735,0.04414921115721705,0.05712424024561671,0.053443161859916426,0.05343024961323562,0.06778684690091333
CD4_TRM,0.06600093543325307,0.12150965255993555,0.3064119537641186,0.06381114145132993,0.06857172749338684,0.045168840998012084,0.05661404289376171,0.06638457551352614,0.05595564546598089,0.06504420504893767,0.08452727937775736
CD4_naive_CM,0.0202858916701744,0.12656763200734963,0.22052502302669952,0.0,0.011680516028312339,0.006504727732181925,0.0,0.004241689328231366,0.25474567604692305,0.0,0.35544884416012773
CD8_EM,0.0643400044110065,0.14452715705941185,0.35631784904995595,0.050308155490968634,0.05728620817118541,0.03693055969510712,0.04519848157765138,0.06497450584513116,0.05264478737192549,0.06159795059055524,0.06587434073710124
CD8_EM_EMRA,0.020195954338681918,0.21195867615833333,0.47746917086027624,0.035718520533766306,0.02549676061640043,0.01600359574891696,0.036534812988427624,0.009432953074391017,0.06389375861821889,0.006757207420713721,0.09653858964187387
CD8_TRM_EM,0.0667469240471153,0.16751757647185458,0.41704834709748384,0.041252017620815255,0.037131559458487104,0.02245016699132539,0.036807685385405894,0.07006711012834366,0.03717630899731165,0.07084500454410332,0.03295729925775415
CD8_TRM,0.10732043677264598,0.13495549154492767,0.36594332959248355,0.028110762541029753,0.041931246752326075,0.025548602341828843,0.01739128977791716,0.12052007906425449,0.02156594165507021,0.1322647815277492,0.0044480384297671755
Chondrocyte,0.03996669579504418,0.0,0.1306155379707057,0.2790934969274506,0.2019079100707776,0.05644637556171901,0.07582150737052552,0.04574109444244831,0.0,0.0,0.17040738186132903
