,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8
Ciliated,0.0,0.00015625625255129904,0.003508231430299021,0.9724847834708653,0.0,0.013837022095246329,0.007388498375023162,0.002406956504388948,0.0002182518716259912
DC_1,0.19126447954408354,0.09598965160560215,0.0017411955895562745,0.05689363623169531,0.3634640931612505,0.07348191137677812,0.06120723859557941,0.1556710187118622,0.0002867751835925848
DC_2,0.16709601725431256,0.18014621153087873,0.0,0.10404318226506458,0.35341636304142415,0.11341590601054581,0.01799760089095778,0.06388471900681644,0.0
DC_activated,0.19451224016728524,0.22365322591474165,0.016279770601724947,0.06894677917376056,0.3546636234098107,0.09051034563305833,0.005959936786494444,0.03595487826859285,0.009519200044531434
DC_plasmacytoid,0.12908892527182303,0.17517737482926538,0.05296203234566491,0.08991000679678957,0.255566229723001,0.1338771106092895,0.07596417673906958,0.056693545816299346,0.030760597868797684
Deuterosomal,0.0,0.0,0.0,0.6550001293789269,0.0,0.344999870621073,0.0,0.0,0.0
Dividing_AT2,0.19757466825643852,0.3092114325984688,0.007113573328825111,0.040106505922606936,0.11850127830651207,0.30838392536861414,0.011983383995069862,0.0,0.00712523222346456
Dividing_Basal,0.006192103843522232,0.0,0.0747078078321629,0.0,0.0,0.6768949551885133,0.1435834719750642,0.09862166116073741,0.0
Endothelia_Lymphatic,0.018356844556957803,0.05737841907928323,0.09632145563284018,0.0,0.12859723397424563,3.824189152593106e-06,0.007504003188278247,0.6107519953916413,0.08108622398760117
Endothelia_vascular_Cap_a,0.03706106416874936,0.5968489688005394,0.011045537568085066,0.0,0.3407168605189028,0.0,0.006118328107817519,0.0,0.008209240835905919
Endothelia_vascular_Cap_g,0.0,0.6138159074255494,0.007827827517416527,0.0,0.36143146682574545,0.0,0.00869404104720478,0.0010438687316831666,0.007186888452400759
Endothelia_vascular_arterial_pulmonary,0.0,0.3248386215243759,0.0893127308485868,0.0,0.26615118147551525,0.0,0.018334694162144918,0.03288577946200402,0.26847699252737306
