,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
Ciliated,0.9698484811273811,0.0,0.003528121634280436,6.798872824028244e-05,0.012829036635764934,0.008993802409935312,0.0,0.0019681958278641204,0.0023707529815772048,0.0,0.00021065362126691548,0.00018296703368969838
DC_1,0.042620539611756054,0.2212343210593659,0.0030182023164111275,0.04330815413958592,0.0537929907627025,0.045378184889837685,0.2557268646512912,0.013428162994407055,0.1100619591617158,0.11395595299986164,0.0006787537041802007,0.09679591370888496
DC_2,0.07742853591404895,0.2041635250181791,0.0,0.10475319822934552,0.08452021988889602,0.012259613243617788,0.2447470515769786,0.0019618056723971415,0.04184093228909086,0.10103432944585128,0.0,0.12729078872159488
DC_activated,0.0533895980189636,0.23804454165309677,0.013534663740551612,0.10435651094190286,0.07082065286179674,4.371842378126212e-05,0.18454197409388973,0.0032401063558132074,0.023865857635093257,0.12424255702069004,0.007296416876042095,0.1766234023783789
DC_plasmacytoid,0.07355168339283123,0.1845257255408483,0.04419533402653053,0.10130622877806277,0.11133766151435935,0.037141439497011396,0.10723853458490809,0.04707371727466883,0.04460836086700381,0.08969698648889492,0.025080107599613388,0.13424422043526738
Deuterosomal,0.6519093811058503,0.0,0.0,0.0,0.3480906188941496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividing_AT2,0.034645569463878007,0.12223551820063022,0.006464411259488553,0.06560112996275014,0.27311424063074613,0.010415250930426586,0.04018208226234378,0.004545040712094004,0.0,0.14471278421321473,0.006228183115498223,0.29185578924892963
Dividing_Basal,0.0,0.0,0.07162594316079857,0.0,0.6367278714205247,0.20129042807890882,0.0,0.0,0.08293325518825717,0.007422502151510711,0.0,0.0
Endothelia_Lymphatic,0.0,0.10221849505219821,0.08973237504633803,0.08209620307471846,0.00022690850310384957,0.00025005274442038456,0.020177654089277186,0.008803133801892994,0.5759519234732392,0.016574614058179594,0.07538970638368259,0.028578933772949545
Endothelia_vascular_Cap_a,4.406064469549934e-05,0.16873031687634027,0.004768579552670367,0.5392843480405839,0.0,0.0010183754255661073,0.012937592963525738,0.0013495670699693743,0.0,0.060918557636099095,0.0014116077861608379,0.20953699400438866
Endothelia_vascular_Cap_g,0.0,0.16432356803638012,0.0012292676350171578,0.616922639948576,0.0,0.0019086357710333113,0.0,0.0025027959330439324,0.001126875697700246,0.040550229753488674,0.0,0.17143598722476064
Endothelia_vascular_arterial_pulmonary,0.0,0.12742837820454697,0.06918087111516982,0.4635148322958199,0.00022287703177819145,0.0016157525143574477,0.012175472072755655,0.015224556437767389,0.027396786562077623,0.020527996464737304,0.21320541734817658,0.049507059952813154
Endothelia_vascular_arterial_systemic,0.0008082749944707994,0.0,0.08279721308355567,0.2408403757908572,0.0024359804601558352,0.0,0.0,0.0,0.0,0.0,0.6731181556709604,0.0
Endothelia_vascular_venous_pulmonary,0.0020330493922353695,0.09972248892218653,0.09188327605837085,0.2530247572455915,0.002227272231892906,0.014457937284808079,0.015663441661696892,0.041554522304389226,0.30410089569800497,0.02091142924175401,0.10541504915328487,0.04900588080578493
Endothelia_vascular_venous_systemic,0.009446897029519548,0.0,0.0661962046634182,0.05621755237829763,0.0,0.0,0.0,0.029738043862526382,0.7574499180010174,0.0,0.08095138406522094,0.0
Erythrocyte,0.01802722662923158,0.2616668269940425,0.01964086704425153,0.13580875813741605,0.015707401310117,0.0,0.16139305765970058,0.0,0.0017745851783305248,0.09227634465659663,0.07771124071785149,0.21599369167246205
Fibro_adventitial,0.00048679903369444215,0.0,0.05151723647270085,0.0,0.0,0.08853980494372536,0.0,0.08791957016157326,0.7507122805409189,0.0,0.02033593846971612,0.0004883703776712372
Fibro_alveolar,0.0,0.5984340316137715,0.0005029196721949824,0.14198486271311594,0.0,0.0,0.0014533915971617663,0.0,0.0,0.06858617680795126,0.0,0.18903861759580456
Fibro_immune_recruiting,0.0,0.04294470561462389,0.031360132208714205,0.018915236503903768,0.0,0.1847066951669278,0.023445558673152282,0.1978270252845755,0.4726130306832629,0.00713961982642731,0.011163730270846675,0.009884265767565665
Fibro_myofibroblast,0.0,0.014637274407956185,0.018015789265834834,0.0,0.0,0.0,0.0,0.0,0.9553644348772901,0.0,0.006882033540045604,0.005100467908873425
Fibro_peribronchial,0.05181853782244993,0.14004092395661474,0.2650705371116,0.03476027171961672,0.09416436816056417,0.0,0.017994933875550498,0.0,0.32213878556835396,0.0032628452114786496,0.05126451020727567,0.019484286366495646
Fibro_perichondrial,0.018791531671293833,0.06860811650464482,0.2011205624155005,0.04439253648633188,0.0,0.0,0.0,0.016462060872463984,0.5702005524616836,0.0,0.059956890514359366,0.020467749073722178
ILC,0.03953034591027337,0.18511859393831626,0.056940495089261016,0.10918173308556176,0.053159320943753155,0.04665153672092553,0.09323071112915986,0.053721180531361594,0.08443841716451446,0.09693335414752668,0.038786945370733086,0.14230736596861307
