,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7
AT1,0.08798656283683488,0.0,0.0,0.7427968814599578,0.0,0.0,0.16921655570320737,0.0
AT2,0.024871426324756307,0.0,0.0,0.18511192174468016,0.0,0.0,0.7899040472106137,0.00011260471994987598
B_memory,0.337226480848897,0.028708500210907525,0.016404182590948592,0.14519691123116638,0.04578023762534063,0.20002145935223584,0.2004398870556893,0.026222341084814627
B_naive,0.2864978846130854,0.04197722915617814,0.024776185157510816,0.1900170054445921,0.12633679216735952,0.09460143666172106,0.16495085899259143,0.07084260780696161
B_plasma_IgA,0.008101943599723199,0.0,0.0,0.0,0.0,0.09998555923757567,0.0,0.891912497162701
B_plasma_IgG,0.16324446986946198,0.0,0.0,0.0,0.013111643755981141,0.647628281381361,0.0,0.17601560499319607
B_plasmablast,0.01670010083602958,0.0,0.0,0.0,0.0,0.5667790958196767,0.0789348028092435,0.33758600053505033
Basal,0.006521157703899012,0.07091769800568476,0.0,0.0,0.9049895020410424,0.0,0.0,0.017571642249373833
CD4_EM_Effector,0.277112893753554,0.06869908374344165,0.049123255838414454,0.22144435657985323,0.08457127556518623,0.08130613585496599,0.14991207535031081,0.06783092331427365
CD4_TRM,0.24790126735659296,0.0704783230089168,0.050005881711612986,0.2024341165039297,0.10339992576302615,0.10299773742592676,0.13214649147636212,0.09063625675363261
CD4_naive_CM,0.27323727697109246,0.014032691207069167,0.013986757950588825,0.07476361560383764,0.00902628217610868,0.462766238040045,0.15218713805125833,0.0
CD8_EM,0.2827765008116951,0.05715561961880426,0.03957003571362658,0.2222048289737998,0.09679400210070103,0.07987197885107948,0.15222642491576963,0.06940060901452408
CD8_EM_EMRA,0.35521801353141885,0.022458898289571212,0.016465077874402993,0.24705193519577473,0.0136516693423242,0.09903097005183367,0.20009581312562852,0.04602762258904587
CD8_TRM_EM,0.31497503142350103,0.03686027319323732,0.022957721607181108,0.2562236835810229,0.1022078049502502,0.04126475591431436,0.170184192045588,0.05532653728490517
CD8_TRM,0.2882599389437947,0.04627820495957184,0.026610518792259678,0.25164655088216764,0.19252690395223282,0.010959516497200426,0.14736842028451907,0.03634994568825383
Chondrocyte,0.15172708521562558,0.21389260657062867,0.0755687620862456,0.050341053103530584,0.05089251201795772,0.1659995143763474,0.009036622737291632,0.28254184389237263
