,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20
AT1,0.0,0.0004101058049226329,0.0,0.0,0.0,0.005616404433381484,0.0006696995882910848,0.7019841167407155,0.07375861844862767,0.0,0.1353703613381856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08219069364587596
AT2,0.0,0.0,0.0,0.0,0.00012205623317072231,0.010361972863065573,0.0,0.17455543774975052,0.6853132873595419,0.0,0.0914090595211991,0.0,0.00015646352082023923,0.0,0.0,0.0,0.0,0.00020218366808931156,0.0,0.0,0.03787953908436251
B_memory,0.17277522641407156,0.012686711846975412,0.0,0.0,0.01234391075066795,0.09414297217479448,0.018452604159909864,0.1076257724933813,0.09879583960304861,0.028397047747351592,0.18882143810072904,0.04458390543991251,0.0035099687039878854,0.036350754680219706,0.013599219743269867,0.06886965048697989,0.005718994829914868,0.0,0.019247904867979112,0.017959675103178415,0.05611840285362783
B_naive,0.06773305365914185,0.0184602483559586,0.0,0.004405822754334351,0.02903010647840844,0.08008194865339614,0.02503302669319556,0.12103819038351264,0.08980895488925787,0.055318505487688144,0.16901793744050003,0.027596064309837732,0.025897257522690086,0.028374771561640085,0.05417884063291542,0.029179888530088648,0.008118331642430058,0.009424488718206309,0.02061994615970633,0.05268077391394228,0.08400184221314906
B_plasma_IgA,0.0,0.0,0.0,0.0021285761294325073,0.06650181739030875,0.0007608337260148982,0.0008111656110641593,0.0,0.00016859617204980176,0.0019258986950602547,0.0015815679026469492,0.0,0.023470855474130466,0.002393186997003265,0.0,0.0,0.0,0.8991283001802525,0.0,0.0004308276447963331,0.0006983740772401243
B_plasma_IgG,0.8440164435640454,0.0,0.0,0.0,0.0,0.0,0.01407965023983535,0.0,0.0,0.0,0.007265310946631719,0.0,0.0,0.016991876305905533,0.004984503246030601,0.0,0.002881768352560586,0.10901269126432118,0.0,0.0007677560806696787,0.0
B_plasmablast,0.7050642597483123,0.0,0.0,0.026978081916974195,0.007887511108541786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08288414781053136,0.0,0.0,0.06778967533764582,0.0,0.10939632407799445,0.0,0.0,0.0
Basal,0.0,0.004425364771326396,0.0,0.01388745297381296,0.00013503874030940883,0.0,0.002792285490774996,0.000813269403622119,0.0,0.8603704474183885,0.0005420547567645135,0.0,0.0,0.0,0.0,0.0,0.0002182843559479722,0.0,0.005392879460471148,0.11142292262858204,0.0
CD4_EM_Effector,0.05199493265013822,0.02806759953696743,0.017770972142723152,0.003911338394963278,0.028958857348954765,0.0750791542785461,0.04281395333761654,0.1303171741754651,0.08580176196059819,0.037852534138898955,0.1642569294606285,0.024857068345966803,0.024281398407773075,0.027499567763834398,0.03653954554794948,0.025910181946247102,0.013130321738170535,0.011818007806101082,0.021715503418921252,0.036460576391323045,0.11096262120821287
CD4_TRM,0.058181818149067324,0.028172497747734365,0.01771103789833502,0.005912307740297279,0.03722765953574722,0.06730919701509883,0.04253640821145869,0.11556520581137854,0.07320631135168346,0.04319394337527006,0.14142910763616284,0.026076953409271384,0.03173024955104375,0.03228513796571164,0.04503104068914867,0.03715663716655502,0.013104044315200571,0.01904773064077911,0.02197674313452058,0.04326624531699679,0.09987972333853867
