,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18
AT1,0.13621193356873315,0.0,0.0,0.0007308235286643699,0.0,0.0,0.0,0.00026089685870575406,0.0,0.0,0.0733166629014757,0.0,0.0,0.004458149353993185,0.7074843974706112,0.0,0.0,0.07753713631781661,0.0
AT2,0.08928626288032433,0.0,0.0,0.0,0.0,0.0,1.7744584076103643e-05,0.0,0.0001717612099371461,0.0,0.6843728301036794,0.0,0.0,0.009631060554245664,0.1777458571746292,0.0,0.0,0.038774483493108046,0.0
B_memory,0.20887381772091596,0.017746565610957117,0.053645844770210234,0.01749361404597456,0.008573832932364798,0.02099059309866163,0.011637950224788252,0.0,0.014868179242213451,0.0,0.1129361621393671,0.014251529525647984,0.13395713542300766,0.12243909155978028,0.11547025784662836,0.03708272058050285,0.008222872699548056,0.05498640390242622,0.04682342867700557
B_naive,0.17575081177104745,0.05054593449331339,0.03077604991111999,0.02494510438358911,0.013958849635698174,0.02215367196031958,0.02989822955954136,0.0,0.030044043202346382,0.0047242361031439115,0.09497370367663661,0.054761638919565536,0.04765760807013999,0.09091410532563055,0.12610920996118904,0.06955843198568017,0.015737855844673583,0.08415759452445332,0.033332920671911986
B_plasma_IgA,0.0,0.000621675566971596,0.0,0.0024941396628935394,0.0,0.0005085292438191324,0.024064499381516818,0.0,0.09216567920310233,0.0,0.0,0.0,0.0,0.0,0.0,0.0016161914584198595,0.8776581106164636,0.0008711748668130496,0.0
B_plasma_IgG,0.06808920152343441,0.004938947781734624,0.0,0.0020470691731263044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010138537015287765,0.4714809753822198,0.06182392968396608,0.0,0.0,0.381481339440231,0.0,0.0
B_plasmablast,0.002648347056520182,0.0,0.0014310716568047485,0.0,0.0,0.0,0.12004444861429839,0.0,0.0,0.06083020959674511,0.03363790043052339,0.0,0.44482527339902717,0.045129268498707374,0.0,0.0,0.2914534807473736,0.0,0.0
Basal,0.0,0.040160224513102055,0.0014116614359384627,0.007855273501476325,0.0,0.0014829223420847915,0.0126004097179144,0.0,0.0,0.0,0.0,0.014453675534542007,0.0,0.0,0.0006487375506975741,0.9213870954042445,0.0,0.0,0.0
CD4_EM_Effector,0.1719347135859962,0.03527938398997954,0.028052533015205744,0.04618110588044183,0.030032302243905355,0.025488322473158267,0.02771353807529473,0.0,0.030563300863684854,0.004329480187065308,0.09107008006894886,0.03708801278568697,0.03896424106319818,0.0847216778600842,0.13725968077088682,0.048589471475601255,0.01617039969299172,0.11390749692603898,0.03265425904183112
CD4_TRM,0.1485931247191266,0.04206312621886129,0.029443586854713405,0.04599970235824318,0.030147951279971885,0.02553210705792314,0.03573002847943192,0.0,0.03953296050887495,0.006362725192932582,0.07829714065454059,0.04578838254004982,0.05267944420324367,0.07700673087363807,0.12174447241616092,0.05585996788856017,0.023788014188148836,0.10263841066776308,0.038792123897816076
CD4_naive_CM,0.15334336891550954,0.0029505218029953,0.12204579597014115,0.009850512028886054,0.007984569648132555,0.016909320276248165,0.0,0.0,0.0,0.0,0.07701650129381171,0.0,0.33376436011388644,0.10313476234878195,0.06909752484250538,0.015452102580607967,0.0,0.02264639936001236,0.06580426081848158
CD8_EM,0.17405727892710865,0.040299554072616574,0.02719006929947188,0.03740022628515006,0.023792829717687813,0.0230309803898743,0.028555465755176392,0.0,0.030632144065304404,0.004708047853453317,0.09111079535966468,0.04245085615720486,0.03999435587667003,0.08714582120004534,0.13810756332406735,0.05332638988630664,0.016918161394629417,0.11171319309869157,0.029566267336876766
CD8_EM_EMRA,0.2254067166725137,0.004815903064321169,0.026208926599277843,0.015250643481998465,0.009589731436114433,0.014458974957750208,0.02054782871973081,0.0,0.019984510450250608,0.0,0.12211302164495047,0.005018132655954259,0.06908698024880405,0.12361091514057769,0.16437335445104387,0.014111406844111612,0.017658306504453877,0.12443629795428225,0.023328349173864543
CD8_TRM_EM,0.19489803508105608,0.04250603235068466,0.01754887127735578,0.023433764384809572,0.013463204025814026,0.0182427535516104,0.022500014755603613,0.0,0.024308908031137347,0.00811298768584732,0.10242733633244694,0.04655954614395833,0.01974974533432156,0.09892257002642994,0.1593851085123698,0.05402406284514151,0.011954338558602829,0.12862845728353767,0.013334263819272545
CD8_TRM,0.17273180443586034,0.07713714547277423,0.010586425690048666,0.028395156030112112,0.015937756979407514,0.018659680351040504,0.009146878925374717,0.0,0.016284255118288758,0.022681350829602858,0.08653927143740661,0.08876845885910624,0.0,0.07993630252010961,0.14776008278610853,0.09180169234101423,0.003086337121507108,0.1256852162033002,0.0048621848989377405
Chondrocyte,0.08974785456962571,0.026269765753329077,0.0,0.10645796712414003,0.01720278915893759,0.22707586042116049,0.042885499089396525,0.0,0.17918690433422801,0.0,0.003987575241588694,0.0,0.0,0.0,0.021554236832396417,0.03634895629117641,0.0,0.038775741060496645,0.21050685012352438
Ciliated,0.0,0.8686996037823306,0.0011856519369620188,0.002012467031607147,9.61391441223236e-05,0.00010948862250370634,0.0074654846881956295,0.023360721561071645,0.0,0.0,0.0,0.09268642759756132,0.0,0.0,0.0,0.0,0.0020074704311966187,0.0001651260369569344,0.0022114191674920507
DC_1,0.17990343057875458,0.02905258785940804,0.06965123211475678,0.0,0.0,0.05081128378041489,0.042954324749331675,0.0,0.012262953342611219,0.0,0.09307108004479277,0.020587495528124115,0.1044715810516328,0.21292447463137565,0.07960690940708545,0.05647585299919184,0.01484059473928165,0.03287923224810347,0.0005069669251350428
DC_2,0.17733473449266535,0.060231372198311664,0.04019527670023995,0.0,0.0,0.004114257621474668,0.014747608523443218,0.0,0.0006417906417474852,0.0,0.08889510322162628,0.01548812863034849,0.04280228297186787,0.2190493319537598,0.10944329394614269,0.12279926330536942,0.009875415063094188,0.09438214072990896,0.0
