,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19
AT1,0.0,0.0006647836336140002,0.0,0.07642539859814924,0.00024544244787511217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005591865031952315,0.0,0.13678734697429326,0.07362518185798311,0.0,0.706659981456133
AT2,0.0,0.0,0.0,0.03466929916141221,0.0,0.0,0.000103924176134195,0.0,0.0,0.0,0.0,0.00014238502058759887,0.00022066186986877397,0.0,0.01030071646129458,0.0,0.09177541633014104,0.686280715258317,0.0,0.17650688172224457
B_memory,0.019680533307566157,0.017843021682478945,0.0,0.053290757176208896,0.0008311959976747224,0.008939642500858151,0.012835095248374923,0.038132016826507145,0.01388061785650729,0.17371937713172267,0.015715661238666384,0.004035979946472678,0.0,0.03304676647046535,0.09496143103743546,0.04484998022741361,0.19020779209535965,0.09963100751875119,0.06885492437874874,0.10954419935878801
B_naive,0.021588207899264415,0.0246005898941198,0.002995915427825453,0.0817607316847806,0.0,0.01385701730812669,0.02961206228279773,0.02927287977748084,0.054174751002479336,0.06747139608664025,0.04811177719104125,0.027856148968986215,0.009171853111988124,0.06714685380014784,0.08077849739385476,0.027576852053718518,0.17044071658363852,0.09071907458074349,0.029639806663466294,0.12322486828889993
B_plasma_IgA,0.0,0.0005172375666844631,0.001983310600314943,0.0006949810284406896,0.0,0.0,0.06597076653122377,0.0023978203296769218,0.0,0.0,0.0003979545292403662,0.024615509314704746,0.8992914796747904,0.001668027217616358,0.0007516166081887716,0.0,0.00151410189503525,0.00019719470408342322,0.0,0.0
B_plasma_IgG,7.889743165177368e-05,0.01331750467732741,0.0,0.0,0.0,0.0,0.0,0.015962298022065797,0.005175572632412223,0.8466841716787766,0.0009609381249172763,0.0,0.11015374832921306,0.0,0.0,0.0,0.007666869103635792,0.0,0.0,0.0
B_plasmablast,0.0,0.0,0.026599570936755093,0.0,0.004714165377325709,0.0,0.007500679658033558,0.0,0.0,0.7052220439514544,0.0,0.08245492232391573,0.10768029767725423,0.0,0.0,0.0,0.0,0.0,0.06582832007526132,0.0
Basal,0.0014214478635402148,0.007847414470020197,0.0,0.0,0.0,0.0,0.0,0.0,0.014119758819972426,0.0,0.03982365813437151,0.01253737084807875,0.0,0.921976247446803,0.0,0.001540075665964144,0.0,0.0,0.0,0.0007340267512498554
CD4_EM_Effector,0.024940016567706405,0.04531405611613518,0.00299973931862758,0.1108381681134726,0.0,0.029490760250819693,0.029940663096099027,0.02843610623195823,0.03690777661634445,0.05235505102612142,0.03375569634469951,0.026198158790531282,0.011801845603403381,0.047149288858476586,0.07685506122753905,0.0254352221675552,0.16808832157037215,0.0878655796662187,0.027083218177190865,0.13454527025672863
CD4_TRM,0.024919944318397978,0.04499999832987339,0.004885371534788045,0.09982347088796796,0.0,0.029513761835076195,0.03832692567011918,0.03333987200515623,0.04539048810034321,0.05858217471825092,0.04014166800870344,0.03400436521270996,0.019108081668623118,0.054060896866915696,0.06884642375555536,0.026609893737755172,0.1446139477929791,0.07494728386410762,0.038676506924302134,0.11920892476837516
