,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,Fibro_alveolar: 0.69,Macro_alv: 0.59,Macro_dividing: 0.51,Macro_CHIT1: 0.51,Macro_interstitial: 0.41,Muscle_pericyte_parenchyma: 0.4,Erythrocyte: 0.39,Macro_CCL: 0.38,DC_2: 0.38,DC_1: 0.38
mean_cell_type_factorsfact_1,Muscle_airway: 0.81,NAF_perineurial: 0.5,Schwann_nonmyelinating: 0.49,NAF_endoneurial: 0.47,Muscle_smooth_pulmonary: 0.43,Fibro_peribronchial: 0.29,Schwann_Myelinating: 0.24,Neuroendocrine: 0.23,Muscle_smooth_syst_arterial: 0.23,Chondrocyte: 0.21
mean_cell_type_factorsfact_2,Endothelia_vascular_arterial_systemic: 0.76,Muscle_smooth_syst_arterial: 0.73,Muscle_smooth_pulmonary: 0.55,NAF_perineurial: 0.3,Endothelia_vascular_arterial_pulmonary: 0.27,NAF_endoneurial: 0.24,Schwann_nonmyelinating: 0.23,Muscle_airway: 0.18,Endothelia_vascular_venous_pulmonary: 0.13,Schwann_Myelinating: 0.11
mean_cell_type_factorsfact_3,AT1: 0.74,Endothelia_vascular_Cap_g: 0.61,Endothelia_vascular_Cap_a: 0.6,Muscle_pericyte_parenchyma: 0.44,Dividing_AT2: 0.38,Endothelia_vascular_arterial_pulmonary: 0.33,Macro_interstitial: 0.31,Erythrocyte: 0.29,Monocyte_CD14: 0.28,Macro_CCL: 0.27
mean_cell_type_factorsfact_4,Deuterosomal: 1.0,Ciliated: 0.99,Secretory_Goblet: 0.95,Suprabasal: 0.94,Basal: 0.9,Ionocyte_n_Brush: 0.81,Secretory_Club: 0.52,SMG_Mucous: 0.28,Dividing_Basal: 0.27,NK_CD56bright: 0.21
mean_cell_type_factorsfact_5,Fibro_myofibroblast: 0.96,Muscle_pericyte_airway: 0.8,Fibro_adventitial: 0.79,Endothelia_vascular_venous_systemic: 0.78,B_plasma_IgG: 0.65,Endothelia_Lymphatic: 0.61,Fibro_perichondrial: 0.59,Mesothelia: 0.57,B_plasmablast: 0.57,Fibro_immune_recruiting: 0.54
mean_cell_type_factorsfact_6,AT2: 0.79,Dividing_AT2: 0.25,DC_activated: 0.21,Macro_CHIT1: 0.21,Macro_alv: 0.2,DC_1: 0.2,B_memory: 0.2,CD8_EM_EMRA: 0.2,MAIT: 0.19,DC_2: 0.18
mean_cell_type_factorsfact_7,SMG_Serous: 0.98,SMG_Duct: 0.94,B_plasma_IgA: 0.89,Myoepithelial: 0.81,SMG_Mucous: 0.7,Schwann_Myelinating: 0.59,SMG_Basal: 0.55,Neuroendocrine: 0.37,Mesothelia: 0.34,B_plasmablast: 0.34
