,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,Endothelia_vascular_Cap_g: 0.63,Endothelia_vascular_Cap_a: 0.55,Muscle_pericyte_parenchyma: 0.37,Endothelia_vascular_arterial_pulmonary: 0.33,Monocyte_CD14: 0.2,Endothelia_vascular_venous_pulmonary: 0.18,Macro_interstitial: 0.17,Fibro_alveolar: 0.16,NK_CD16hi: 0.15,Macro_CCL: 0.14
mean_cell_type_factorsfact_1,Macro_alv: 0.81,Macro_CHIT1: 0.74,Macro_dividing: 0.68,Macro_interstitial: 0.36,Macro_CCL: 0.29,Macro_int: 0.28,DC_2: 0.23,DC_1: 0.23,Macro_alveolar_metallothioneins: 0.21,Macrophage_intermediate: 0.18
mean_cell_type_factorsfact_2,Muscle_smooth_syst_arterial: 0.69,Muscle_smooth_pulmonary: 0.52,Endothelia_vascular_arterial_systemic: 0.21,Muscle_airway: 0.16,Endothelia_vascular_arterial_pulmonary: 0.14,NAF_perineurial: 0.097,Endothelia_vascular_venous_pulmonary: 0.073,Erythrocyte: 0.069,NAF_endoneurial: 0.064,Muscle_perivascular_immune_recruiting: 0.059
mean_cell_type_factorsfact_3,Ciliated: 0.89,Deuterosomal: 0.53,Secretory_Club: 0.38,Ionocyte_n_Brush: 0.19,Basal: 0.11,NK_CD56bright: 0.091,CD8_TRM: 0.085,Megakaryocyte: 0.074,DC_2: 0.071,Suprabasal: 0.071
mean_cell_type_factorsfact_4,B_plasma_IgA: 0.88,SMG_Mucous: 0.42,B_plasma_IgG: 0.39,B_plasmablast: 0.36,Fibro_immune_recruiting: 0.19,Mesothelia: 0.14,Macro_AW_CX3CR1: 0.14,Myoepithelial: 0.12,Muscle_perivascular_immune_recruiting: 0.12,Schwann_Myelinating: 0.11
mean_cell_type_factorsfact_5,Schwann_nonmyelinating: 0.9,Endothelia_vascular_arterial_systemic: 0.68,NAF_endoneurial: 0.57,NAF_perineurial: 0.56,Fibro_perichondrial: 0.52,Schwann_Myelinating: 0.5,Chondrocyte: 0.29,Endothelia_vascular_arterial_pulmonary: 0.27,Neuroendocrine: 0.18,Fibro_peribronchial: 0.1
mean_cell_type_factorsfact_6,Basal: 0.87,Suprabasal: 0.74,Dividing_Basal: 0.73,SMG_Basal: 0.28,Ionocyte_n_Brush: 0.22,Dividing_AT2: 0.21,Fibro_peribronchial: 0.17,Megakaryocyte: 0.11,Deuterosomal: 0.11,DC_2: 0.1
mean_cell_type_factorsfact_7,SMG_Duct: 0.73,SMG_Basal: 0.48,Myoepithelial: 0.25,SMG_Mucous: 0.22,Mesothelia: 0.19,Dividing_Basal: 0.17,B_plasmablast: 0.12,Fibro_immune_recruiting: 0.1,Neuroendocrine: 0.1,Muscle_perivascular_immune_recruiting: 0.091
mean_cell_type_factorsfact_8,AT2: 0.68,Dividing_AT2: 0.13,CD8_EM_EMRA: 0.13,B_memory: 0.12,MAIT: 0.12,DC_activated: 0.11,NKT: 0.11,CD8_TRM_EM: 0.1,B_naive: 0.098,T_reg: 0.097
mean_cell_type_factorsfact_9,Fibro_alveolar: 0.59,Muscle_pericyte_parenchyma: 0.26,Erythrocyte: 0.24,CD8_EM_EMRA: 0.23,B_memory: 0.22,DC_activated: 0.22,Mast_cell: 0.21,MAIT: 0.21,NKT: 0.2,Monocyte_CD14: 0.2
mean_cell_type_factorsfact_10,Muscle_airway: 0.82,Muscle_smooth_pulmonary: 0.45,Muscle_smooth_syst_arterial: 0.26,NAF_perineurial: 0.22,NAF_endoneurial: 0.19,Fibro_peribronchial: 0.18,Neuroendocrine: 0.12,Megakaryocyte: 0.11,Chondrocyte: 0.11,Secretory_Club: 0.092
mean_cell_type_factorsfact_11,Secretory_Goblet: 0.94,Ionocyte_n_Brush: 0.46,Deuterosomal: 0.36,SMG_Mucous: 0.28,Suprabasal: 0.19,Dividing_AT2: 0.13,Megakaryocyte: 0.1,NK_CD56bright: 0.098,Ciliated: 0.097,CD8_TRM: 0.095
mean_cell_type_factorsfact_12,Endothelia_vascular_venous_systemic: 0.89,Muscle_pericyte_airway: 0.44,Endothelia_Lymphatic: 0.29,Endothelia_vascular_venous_pulmonary: 0.29,Muscle_perivascular_immune_recruiting: 0.2,CD4_naive_CM: 0.2,Fibro_peribronchial: 0.17,Mast_cell: 0.13,Fibro_myofibroblast: 0.12,Fibro_immune_recruiting: 0.12
mean_cell_type_factorsfact_13,AT1: 0.71,Dividing_AT2: 0.26,Muscle_pericyte_parenchyma: 0.21,Erythrocyte: 0.2,Endothelia_vascular_Cap_a: 0.2,Fibro_alveolar: 0.18,AT2: 0.18,CD8_EM_EMRA: 0.17,CD8_TRM_EM: 0.16,MAIT: 0.16
mean_cell_type_factorsfact_14,Fibro_myofibroblast: 0.84,Fibro_adventitial: 0.7,Mesothelia: 0.37,Muscle_pericyte_airway: 0.36,B_plasma_IgG: 0.34,Fibro_immune_recruiting: 0.34,Endothelia_Lymphatic: 0.33,Fibro_perichondrial: 0.33,B_plasmablast: 0.29,CD4_naive_CM: 0.27
mean_cell_type_factorsfact_15,SMG_Serous: 0.97,Myoepithelial: 0.43,Schwann_Myelinating: 0.2,Chondrocyte: 0.19,SMG_Duct: 0.19,Neuroendocrine: 0.18,Fibro_immune_recruiting: 0.12,B_plasma_IgA: 0.11,Muscle_perivascular_immune_recruiting: 0.11,Megakaryocyte: 0.091
