,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
AT1,0.0,0.6408226216401238,0.014894681409788337,0.0,0.19230902664427163,0.02289094399275402,0.0,0.08113185944918001,0.043573031969303455,0.0,0.004377834894578917
AT2,0.0,0.634516136001513,0.042181316498301216,0.0,0.23923883977983193,0.018420799751168,0.0,0.06233019389250289,0.0,0.0,0.003312714076682761
B_memory,0.028078782956597093,0.10477657571373455,0.04590897884750908,0.02038416744913075,0.19339474148500743,0.07194661570465549,0.3123878282793536,0.09861759905101804,0.055493786767985255,0.026264307657836716,0.04274661608717192
B_naive,0.03719278037001897,0.09196348470570542,0.07753627910858894,0.09236647546236103,0.0952223878508512,0.15516453823713777,0.11480324498232396,0.1473564064926576,0.06446382357273274,0.04597781786704226,0.0779527613505799
B_plasma_IgA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006660820344712005,0.8825045163256858,0.11083466332960211
B_plasma_IgG,0.0,0.0,0.0,0.001183857004066128,0.09739363300511858,0.006252772830753388,0.4415742826334571,0.0007303788327266268,0.0,0.45286507569387824,0.0
B_plasmablast,0.0,0.0,0.16407170078117922,0.0,0.10495284217705594,0.0,0.2946466086458809,0.0,0.0,0.43632884839588404,0.0
Basal,0.003971164260484375,0.007147848583021767,0.004697355026761501,0.0,0.0,0.11044623747430907,0.0,0.8650609379316463,0.005034083651875965,0.0,0.0036423730719010684
CD4_EM_Effector,0.08137082193720749,0.109753340803605,0.07572192405073298,0.05684983807087037,0.09262078249226076,0.1179804152053919,0.10486011337838884,0.10813557553393774,0.1207485093118212,0.0497235370052273,0.08223514221055642
CD4_TRM,0.07102658926594774,0.09170245750055986,0.08403215178349714,0.0668535601365918,0.08569726504864247,0.12020575808404041,0.11649149283635296,0.10564045545196972,0.10455770639365909,0.06210201428967073,0.09169054920906808
CD4_naive_CM,0.020244042332660764,0.05124094910338538,0.0,0.0,0.31457088486333756,0.008137886215867774,0.5570107108614508,0.027861009111432574,0.020934517511865154,0.0,0.0
CD8_EM,0.0659127241940987,0.10343564147255707,0.07847201617398562,0.07334051516500263,0.0912923359991851,0.1320211969653734,0.10263808966243172,0.11701504718597659,0.10012731725978939,0.05231833057535733,0.08342678534624241
CD8_EM_EMRA,0.04518005574329222,0.13608619226128071,0.09514074348948397,0.0,0.1564258819129169,0.03864281479757135,0.2302157162825345,0.05585898013839592,0.07169228508301978,0.08552401534092699,0.08523331495057762
CD8_TRM_EM,0.04671639191748033,0.11254903303273305,0.07585485629045766,0.10687502051506818,0.07847072404984146,0.1673350327492741,0.06076975363041619,0.14318693615919306,0.0781404088066494,0.049142006838958356,0.08095983600992829
CD8_TRM,0.045433679558901915,0.09278658552687263,0.030877082452223252,0.18372425253713304,0.047154136383421544,0.24885549923648143,0.007227156495414489,0.19929802985824807,0.07503417329246112,0.023152938559245113,0.04645646609959724
Chondrocyte,0.020462821541592104,0.33073199244421037,0.06930732750194389,0.0,0.0,0.04888536658583918,0.15295516180953195,0.018410514999478416,0.12845962666797128,0.0,0.23078718844943277
Ciliated,0.0,0.0009425920857596603,0.009405096196019423,0.07986881855583636,0.0006779436415931297,0.8937732002697393,0.0028626138166073776,0.008932214364159813,0.003497734402525926,0.0,3.978666775899064e-05
DC_1,0.0,0.18591908596039292,0.14404605479888372,0.10031918543912609,0.1505296393754379,0.06099356728024924,0.1762655490177841,0.09734872930473325,0.0,0.04144650501279641,0.04313168381059636
DC_2,0.0,0.1044731151807288,0.07437730579029353,0.2954806644980892,0.08179261948878191,0.11778409699009802,0.09079125437343812,0.16751335945302878,0.0,0.04193572861940271,0.02585185560613909
DC_activated,0.021532095159829786,0.16955470790264585,0.020947936454512574,0.15968646887926935,0.12136921546663171,0.17755463932159984,0.047104972187846816,0.2103086198985674,0.04943896014939601,0.0,0.02250238457970067
