,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12
AT1,0.03526568441122288,0.021888814824461752,0.1686528115512533,0.01004691211530515,0.015575610577494976,0.0,0.0,0.4942533103337709,0.0729007890584699,0.0,0.001116875399208492,0.18029919172881273,0.0
AT2,0.0,0.0188322684807633,0.2126852593863613,0.0343065638536714,0.01269955097606743,0.0,0.0,0.4925727055321141,0.05645219848573106,0.0,0.0,0.17245145328529154,0.0
B_memory,0.05226787528445191,0.02359798749968675,0.1872123603251438,0.04407796673399517,0.06191442977635856,0.025083155521241005,0.2976334554131067,0.09697186280289083,0.09892007046282612,0.019918147758353825,0.04011782678946849,0.025042356501076907,0.02724250513139986
B_naive,0.06280957592618255,0.0,0.09363350639166176,0.07749504952698943,0.13595179676522967,0.0433747194152675,0.11099484069803824,0.08344683570778662,0.16861830999739208,0.08858447580446613,0.07416856544699478,0.02635012564999276,0.03457219866999861
B_plasma_IgA,0.006819018799543962,0.0,0.0,0.0,0.0,0.8821597369862797,0.0,0.0,0.0,0.0,0.11102124421417643,0.0,0.0
B_plasma_IgG,0.0,0.0,0.09660285237259562,0.0,0.005586596764117548,0.4519223592276832,0.4403189739158154,0.0,0.004362443374856042,0.0012067743449319921,0.0,0.0,0.0
B_plasmablast,0.0,0.042106017289948214,0.09990881803156242,0.1549327718883873,0.0,0.4210231046710453,0.2820292881190567,0.0,0.0,0.0,0.0,0.0,0.0
Basal,0.010655126468789484,0.004074563748652495,0.0,0.014803174237050166,0.03560898051621496,0.0,0.0,0.00377576392091579,0.9115329173299637,0.018751931835446715,0.0,0.00036642416608341624,0.0004311177768832321
CD4_EM_Effector,0.11716588492535854,0.0,0.09014833524216395,0.07482819511082224,0.1031532623790463,0.0469715554172429,0.10074671908404254,0.09370705009474889,0.12403793807826786,0.053841294715829116,0.07802582965398543,0.042859890049507826,0.0745140452489843
CD4_TRM,0.10191139423739504,0.0,0.08366473730962486,0.08328123712523175,0.10577886565033498,0.05903725368382283,0.11257605765343037,0.07890672164696956,0.1225077744546196,0.06341123465964738,0.08753344671906729,0.03613916263825879,0.06525211422159756
CD4_naive_CM,0.0198712217047506,0.006490718306248452,0.31057506296163656,0.0,0.005560414545105837,0.0,0.5458560787294698,0.04864590684648933,0.031189264912948163,0.0,0.0,0.010806499245345417,0.021004832748005832
CD8_EM,0.09726704852500047,0.0,0.08908426843811561,0.07777734650007731,0.11581599511314879,0.04943345322516477,0.098812645581537,0.08942090143582138,0.1353706915318409,0.06932749252827007,0.0792489679668673,0.03796386610332492,0.060477323050831436
CD8_EM_EMRA,0.06804189646538839,0.010808209779705893,0.15172742117880583,0.09184927313985704,0.032884141818741046,0.08189455501822161,0.21927836927033054,0.1191366334800772,0.05800745383843691,0.0,0.08062600805915578,0.04327280728617168,0.042473230665107956
CD8_TRM_EM,0.07586458067172727,0.0,0.07663149779127494,0.07536598570814061,0.1468562549463946,0.04609457619793278,0.05843702640647584,0.09639468264408053,0.16553390091421122,0.10080223523587933,0.07656833844566754,0.03907778295919823,0.042373138079016874
CD8_TRM,0.0733997141123474,0.0,0.046131345580664236,0.03279473886818916,0.2190312553825114,0.020617424243995305,0.007828427366368575,0.07753726384486365,0.2321798039782446,0.17256363387334994,0.0434220280512461,0.03398555204581941,0.040508812652400125
Chondrocyte,0.11862737469888143,0.0,0.0,0.06605524381081651,0.042731125914469564,0.0,0.14165185234180697,0.31179191553320473,0.02799700245013736,0.0,0.21656600716119048,0.049904565686652046,0.024674912402840712
Ciliated,0.0031044602420479592,0.033061974109703,0.0002733853680262242,0.005929780383064035,0.8779519883388632,0.0,0.0019228214438228657,0.0006872691604176373,0.0003768702418183329,0.07378603311991982,0.0016405973401809463,0.0012292456423824306,3.557460975337602e-05
DC_1,0.0,0.0518952050168404,0.14658512832515333,0.1326919901693711,0.052417156198369445,0.039821375103897605,0.1591670646325807,0.19934614905042605,0.08321744348184767,0.09286011855541793,0.038496744652530945,0.003501624813564732,0.0
DC_2,0.0,0.053911719474924194,0.07993451811324565,0.0692037619894641,0.099573702063844,0.03991096263401334,0.08285510826051143,0.10309468081846192,0.16129306241771868,0.2770334595436569,0.023482741547924523,0.009706283136235243,0.0
DC_activated,0.046375809106416886,0.0,0.11930398512986985,0.022158414890938383,0.15041018539205359,0.0,0.04357102602419989,0.15787817057225562,0.2311442684822247,0.1540123878413147,0.019401347924003682,0.03381123432946306,0.02193317030725963
DC_plasmacytoid,0.0796164901682069,0.0,0.06952164876506196,0.06954140678060629,0.12055403930918182,0.06111712927246953,0.0527776826080838,0.09874913393730042,0.19082011721341913,0.10496026018092199,0.07788537573504037,0.03312794811005683,0.041328767919650934
Deuterosomal,0.0,0.0,0.0,0.0,0.6637001900251888,0.0,0.0,0.0,0.15066882665204515,0.18563098332276615,0.0,0.0,0.0
