,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
CD4_naive_CM,0.008371059907899223,0.051349581616726724,0.0,0.31435306897545684,0.0,0.02809875542607803,0.0,0.5563323378451122,0.0,0.0,0.021353951955247398,0.020141244273479707
CD8_EM,0.1304176543826864,0.1022496048615993,0.07860911508833647,0.09018181980943858,0.07439715170043028,0.11492296498127991,0.004800298737249667,0.10065864709189709,0.08090496912929265,0.059074193074204265,0.09868604097881246,0.06509754016477293
CD8_EM_EMRA,0.037702760604852226,0.134736730812158,0.09573763771393844,0.15468421051900716,0.002772040315699704,0.055119739580917225,0.0,0.22639148999448291,0.0818727363786311,0.09557413943575305,0.07070995638676278,0.04469855825779739
CD8_TRM_EM,0.1650325832990174,0.11078677582243719,0.07419132613415899,0.07730207741253804,0.10496621301303449,0.14005706606902393,0.014793737994290622,0.059091512496564344,0.07802910931430158,0.05313005166502814,0.07663788916562184,0.04598165761398354
CD8_TRM,0.24422469325821924,0.09035478884501838,0.024857830126945313,0.046440897098252006,0.17214876145516544,0.19337697573678664,0.043080085423976726,0.006591113463794843,0.04335049693384254,0.017943959156294723,0.07336804972246719,0.044262348779237126
Chondrocyte,0.04865470892514709,0.3294199648503098,0.07068585348711894,0.0,0.0,0.01845811861425075,0.0,0.15284750249105178,0.23201581881984587,0.0,0.12776540871372732,0.02015262409854852
Ciliated,0.8805780921348163,0.0009391198106659195,0.011244382261638573,0.0006951583253777644,0.09346202783049877,0.004558441442056569,0.0,0.0027474886443792776,0.0,0.0024742464398667574,0.0033010431106998144,0.0
DC_1,0.05981786882332916,0.18331728688210866,0.14371365311824966,0.14859228758534135,0.10367535279013185,0.0941609653458279,0.0,0.17149087834531332,0.037828785286273585,0.057402921823424595,0.0,0.0
DC_2,0.1200550855420546,0.10225112494353768,0.07798086378111034,0.08035604985067689,0.2904650074215068,0.16517204242767453,0.0,0.08824904947273064,0.023575643856887256,0.051895132703821206,0.0,0.0
DC_activated,0.17779545271886654,0.16852250906929103,0.023093094608652335,0.12055725543097859,0.15927018682173905,0.20868619823368423,0.00047180644889992793,0.04656331823487254,0.02211810968130341,0.0029802211150907983,0.048546888102169415,0.021394959534451915
DC_plasmacytoid,0.13974318185795434,0.10835231849153742,0.06810424486828638,0.06943412625019643,0.10637008801213338,0.16711633879543975,0.015762968616436626,0.05335986298889767,0.07942875569736914,0.06769443608229732,0.0802130569231868,0.044420621416264676
Deuterosomal,0.6653526890121254,0.0,0.0,0.0,0.1881552265021061,0.08994641201567373,0.056545672470094836,0.0,0.0,0.0,0.0,0.0
