,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18
AT1,0.9051943622734318,0.002559240057746795,0.0,0.0,0.0,0.0,0.0031100810575656118,0.0,0.0,0.01018881296958472,0.0,0.0,0.02582853859272693,0.0,0.03437155158359648,0.01057532333813268,0.0,0.008172090127214843,0.0
AT2,0.9540532798892769,0.0,0.0,0.0,0.0,0.0,0.0003941071345497334,0.0,0.0018905767497006895,0.0,0.003142663098425818,0.0,0.009576728447563703,0.0,0.002693420647804031,0.007946643191389149,0.004262084781093293,0.011659019655170817,0.004381476405025705
B_memory,0.15305806932032098,0.02195369211036697,0.052329546635480624,0.01873827379173668,0.18230672780475246,0.02874970246636412,0.04387999331029112,0.0,0.0,0.036640972012668964,0.13447297361521865,0.0,0.040854703445010514,0.004893722267678474,0.03773913540376633,0.006904431160900102,0.11866254916606596,0.09533584148414519,0.02347966600523294
B_naive,0.136444476400713,0.029319423270701372,0.10361449505285601,0.0762484776375873,0.06777534592671312,0.05389223120400501,0.11152073231404742,0.04250961189858373,0.0016179599081399827,0.047343664899607334,0.017581092101948782,0.001465853076832257,0.07327310794571787,0.00844541439949805,0.035895068088398166,0.0,0.0745732830090425,0.05919844883151285,0.05928131403409544
B_plasma_IgA,0.0011477682467015303,0.0,0.0,0.0,0.0,0.06231686822332162,0.00029230530931959677,0.8986054843273147,0.004450804880353208,0.0,0.010028174396264114,0.00012635819115442917,0.001976200747051648,0.0,0.0,0.0,0.0018106151754958488,0.0,0.019245420503023015
B_plasma_IgG,0.004212900119876424,0.0,0.0,0.0,0.05178389439478686,0.0,0.00897562307452177,0.03133765730426438,0.0,0.008534120806517215,0.8448727918055856,0.011461274290507388,0.002628741291545601,0.0041544127215955694,0.0,0.0,0.03203858419079894,0.0,0.0
B_plasmablast,0.0,0.0,0.0,0.0,0.05763254427376582,0.018197961198425466,0.0,0.057808909542416353,0.025187995021289076,0.0,0.7472822305741814,0.0,0.0,0.0,0.0,0.00863402100915642,0.0,0.0,0.08525633838076543
Basal,0.0,0.0012019784586615487,0.16728135168430328,0.057827576796486785,0.0,0.0,0.031873468151362216,0.0,0.0,0.0020448293151562875,0.0,0.0,0.7164961661188642,0.0,0.0,0.021789674671807206,0.001223318924238675,0.0002616358791200339,0.0
CD4_EM_Effector,0.1534577605058121,0.06311106325612378,0.07140072824524354,0.04975942673325682,0.06263292067038878,0.05693544005433084,0.08494996278879474,0.04967233668633516,0.0029675688325802247,0.09269996495560914,0.0,0.0003168054560131376,0.05921827410412451,0.020287927477420947,0.04138518351205219,0.0,0.07505881681187625,0.05823952169647417,0.05790629821356345
CD4_TRM,0.12284552666401552,0.055618989826408415,0.06972038790065768,0.05726240527903955,0.07381452105957813,0.06578537645568384,0.0883135871260226,0.05782111737620127,0.005165610925010619,0.08109851079284378,0.012536767226593044,0.0,0.06096932976020119,0.018188876915171383,0.03699742556484931,0.0,0.07472357396361316,0.05342545432825095,0.06571253883585938
